symbol,ID001,ID002,ID003,ID004,ID005,ID006,ID007,ID008,ID009
CCDC185,6.226925497,5.846095156,6.171202376,6.560126244,5.985040483,6.895303932,5.935870935,6.182028452,6.334718336
ENTHD1,3.93209488,3.850299865,4.013781506,3.754505336,3.842872355,3.993283943,3.909346693,3.773804547,3.938376375
TSSK3,8.953875405,8.851108558,8.579683736,9.100431304,8.946117728,8.734929563,8.841162632,8.835023542,8.571643165
WFDC6,6.602441197,6.527066755,6.542967297,6.688062282,6.592417319,6.52132592,6.51669077,6.656015443,6.432228309
CLEC12A,5.451783679,5.543130974,5.419143936,5.682171542,6.058185437,5.549898477,5.507291449,5.998543387,5.667145386
BRF1,6.004890786,5.724315302,6.105299197,6.068798382,6.323576677,6.606800933,6.158547385,6.163726132,6.26454748
TMEM266,6.749027656,6.680966458,6.605417256,6.881667082,6.613059065,6.13125561,6.492468603,6.321142851,6.494033721
CALML6,6.237222155,6.46960653,6.03290638,6.252645718,6.222712242,6.365802888,6.350867361,6.455042592,6.296246038
NLRP5,6.7942727,6.756579343,6.437822468,6.98052978,6.681855206,6.319681402,6.574577828,6.572840847,6.354443636
ODF4,5.742194619,5.707131205,5.385435492,5.567443642,5.716720747,5.465956222,5.652326041,5.563215214,5.612463049
CLEC4F,7.50466452,7.047293798,6.893641655,7.204341173,7.205670609,7.078535351,7.060539067,6.996469669,7.364837158
WFDC9,6.141813343,6.111147332,6.288020864,6.587234076,6.326183469,6.123898925,6.222127005,6.120420517,6.267936623
NEDD1,6.969689938,6.060379663,7.379448062,5.925455502,6.230319748,6.304443425,6.244411302,6.686953795,6.903960477
TTLL10,5.702615016,6.186157963,5.903571713,6.036118779,6.162619309,5.629621408,6.047784261,5.870001157,5.587166043
CALR3,5.311137614,5.240304976,5.447784109,5.588152978,5.270687388,5.499038829,5.627399481,5.386718932,5.653255161
C10orf25,6.860071391,6.923989028,6.9004498,7.237984378,7.094559076,6.353813384,7.016461865,6.867552039,6.745363305
ETV3,7.445781512,7.845234731,7.21974212,8.03561229,7.929151137,7.093506237,7.534523032,7.571220156,6.666605193
KLHL10,4.98720099,5.076337515,4.815915978,5.108793342,4.549069524,5.490215996,4.844220277,4.810167656,4.866794255
TM2D3,9.455927723,9.256537238,9.678063861,9.510927928,9.110661368,9.03087519,9.135821968,9.351575598,9.766997289
ZNF485,5.165397488,5.023198062,5.256680216,4.986038285,4.727955483,4.784205907,5.026221319,4.800426927,5.062870678
WDR17,3.934932131,3.872784394,3.839214565,3.820183676,3.895797936,3.789791053,3.947243729,3.89315751,4.04036002
