X1,X2
TSR3,TRMT12
TSR3,TRMT112
TSR3,TMEM203
TSR3,TRMT5
TSR3,RRP36
TSR3,TMEM158
TSR3,RIOK1
TSR3,CTU1
TSR3,TP53RK
TSR3,LTV1
TSR3,NOC4L
TSR3,OR2B3
TSR3,B3GLCT
TSR3,TSR2
TSR3,SPON1
KRT33A,KRTAP1-3
KRT33A,KRT26
KRT33A,KRT83
KRT33A,KRT16
KRT33A,KRT25
KRT33A,KRT28
KRT33A,KRT14
KRT33A,SPRR2A
KRT33A,KRT71
KRT33A,KRT27
KRT33A,DHFR
KRT33A,SPRR2B
KRT33A,KRTAP1-1
KRT33A,MT4
KRT33A,KRT38
KRT33A,KRT32
KRT33A,KRTAP3-1
KRT33A,KRT24
KRT33A,KRT12
KRT33A,MT2A
KRT33A,KRT34
KRT33A,DHFR2
KRT33A,KRT10
KRT33A,KRTAP11-1
KRT33A,KRT85
KRT33A,KRT37
KRT33A,KRT31
KRT33A,KRT20
KRT33A,KRT39
TFAP2D,SPATA4
TFAP2D,CITED4
TFAP2D,ZCCHC3
TFAP2D,YEATS4
TFAP2D,TFAP2E
TFAP2D,TFAP2C
PGLYRP1,ELANE
PGLYRP1,DEFA1
PGLYRP1,DEFA1B
PGLYRP1,CTSG
PGLYRP1,IFNA2
PGLYRP1,TLR2
PGLYRP1,MPO
PGLYRP1,LBP
PGLYRP1,RNASE3
PGLYRP1,HSPA1B
PGLYRP1,CNRIP1
PGLYRP1,DEFA4
PGLYRP1,OLFM4
PGLYRP1,ORM1
PGLYRP1,SLPI
PGLYRP1,DEFA3
PGLYRP1,S100A12
PGLYRP1,RETN
PGLYRP1,LGALS4
PGLYRP1,FLG2
PGLYRP1,TCN1
PGLYRP1,CAMP
PGLYRP1,ORM2
PGLYRP1,TNFRSF1A
PGLYRP1,MMP9
PGLYRP1,RNASE2
INMT,GPRIN2
INMT,AOC3
GPRC5A,VSIG8
MS4A12,CLCA4
MS4A12,MALL
MS4A12,SCGB1D2
MS4A12,GUCA2B
MS4A12,TMEM176A
MS4A12,APOL6
MS4A12,ZG16
MS4A12,OOSP4B
MS4A12,KRT20
MS4A12,INSL5
MS4A12,MS4A6E
MS4A12,GUCA2A
MS4A12,MS4A5
SYT13,RAB3C
SYT13,NXPH2
SYT13,SYT10
AKAP11,IRX1
AKAP11,PDE3B
AKAP11,FAM216B
AKAP11,AKAP5
AKAP11,PRKACG
AKAP11,VGLL3
GABARAPL2,STBD1
GABARAPL2,CD300C
GABARAPL2,TLR2
GABARAPL2,CYCS
GABARAPL2,CHMP4C
GABARAPL2,BECN2
GABARAPL2,CHMP6
GABARAPL2,NUFIP1
GABARAPL2,CCPG1
GABARAPL2,FUNDC1
GABARAPL2,TXNIP
GABARAPL2,TMEM184C
GABARAPL2,MOCS3
GABARAPL2,PGAM5
GABARAPL2,YKT6
GABARAPL2,GYS2
GABARAPL2,CALML5
GABARAPL2,GABRQ
GABARAPL2,GABRG1
GABARAPL2,PINK1
GABARAPL2,IRGM
GABARAPL2,HSPA5
GABARAPL2,MAP1LC3C
GABARAPL2,CALML3
GABARAPL2,PRKACG
GABARAPL2,FIS1
GABARAPL2,KBTBD6
GABARAPL2,KBTBD7
GABARAPL2,PIK3R4
GABARAPL2,NCOA4
GABARAPL2,IKBKG
GABARAPL2,CHMP4B
GABARAPL2,UBD
GABARAPL2,CDR2
GABARAPL2,MAP1LC3B2
GABARAPL2,UBQLN2
GABARAPL2,UVRAG
GABARAPL2,ATG14
GABARAPL2,TERF2IP
GABARAPL2,GABRD
GABARAPL2,ASZ1
GABARAPL2,LTB4R
OTC,CYBB
OTC,ACY1
OTC,TIMM44
OTC,GLUD2
OTC,ARG2
OTC,ARSH
OTC,PGM2L1
OTC,FABP2
OTC,PAM16
OTC,PIGW
OTC,ALG11
OTC,TIMM23
OTC,ALDH18A1
OTC,ALG1L2
OTC,AGA
OTC,ACADL
OTC,H3-4
OTC,AGMAT
OTC,GCKR
OTC,STS
OTC,AGXT
OTC,GYS2
OTC,TIMM22
OTC,PRODH
OTC,SLC10A1
OTC,DNAJC19
OTC,AMY1C
OTC,FH
OTC,AMY1C
OTC,ATP5F1B
OTC,AMY2B
OTC,CYC1
OTC,ARSI
HOXC8,HOXC11
HOXC8,HOXA10
HOXC8,HOXC9
HOXC8,HOXA7
HOXC8,HOXC10
HOXC8,IRX6
HOXC8,HOXD4
HOXC8,POU3F1
HOXC8,HOXC5
HOXC8,HOXC13
HOXC8,UCP1
HOXC8,DLX5
HOXC8,HOXB7
HOXC8,HOXB5
HOXC8,HOXA11
HOXC8,HOXC4
HOXC8,HOXC6
HOXC8,MSX1
HOXC8,HOXC12
ZPBP,SPACDR
ZPBP,ACRBP
ZPBP,SPACA1
ZPBP,IZUMO1
ZPBP,SPATA48
ZPBP,SPATA16
ZPBP,SSMEM1
ZPBP,SPESP1
ZPBP,AKAP3
ZPBP,HIPK4
ZPBP,KLHL10
ZPBP,ODF1
ZPBP,LRRC3C
ZPBP,SPA17
ZPBP,VWC2
ZPBP,TRHR
ZPBP,TEKT4
MRPS10,KCNV2
MRPS10,ATP5PO
MRPS10,ABCF2-H2BK1
MRPS10,UBA52
MRPS10,MRPL50
MRPS10,MRPL17
MRPS10,PDF
MRPS10,KCNA6
MRPS10,RPS10-NUDT3
MRPS10,MRPS6
MRPS10,MRPL51
MRPS10,EIF1B
MRPS10,CCDC105
MRPS10,MRPS9
MRPS10,MRPS25
MRPS10,PRAMEF6
MRPS10,AVPI1
MRPS10,TEX48
MRPS10,NME1
MRPS10,GAGE12D
MRPS10,RPL17
MRPS10,MRPS31
MRPS10,MRPL12
MRPS10,KCNS2
MRPS10,DNAJC19
MRPS10,RPS5
MRPS10,RPS28
MRPS10,PRAMEF13
MRPS10,ATP6V1F
MRPS10,KCNA5
MRPS10,PEBP4
MRPS10,RPL26L1
MRPS10,MRPL33
MRPS10,KCNG2
MRPS10,PNO1
MRPS10,SPDYE8
MRPS10,ATP5F1B
MRPS10,ARL3
MRPS10,RRP36
MRPS10,GCC1
MRPS10,GAGE12H
MRPS10,PRAMEF27
MRPS10,TFB2M
MRPS10,EIF5A2
MRPS10,KCNA7
MRPS10,MRPL3
MRPS10,FDXACB1
MRPS10,C1QBP
MRPS10,GAGE12B
MRPS10,SPDYE11
MRPS10,KCNG3
MRPS10,AOC2
MRPS10,MRPS26
MRPS10,NME5
MRPS10,RPS16
MRPS10,NOA1
MRPS10,RPS12
MRPS10,KCNA4
MRPS10,RPS18
MRPS10,MRPL54
MRPS10,PRAMEF14
MRPS10,KCNG4
MRPS10,GAGE13
MRPS10,EIF2S3B
MRPS10,GAGE12F
MRPS10,MRPL49
MRPS10,RPS19
MRPS10,SPDYE9
MRPS10,XRN2
MRPS10,MRPL45
MRPS10,SPDYE13
MRPS10,REELD1
MRPS10,CXorf66
MRPS10,MRPL13
MRPS10,MRPL14
MRPS10,MRTO4
MRPS10,RPS4Y2
MRPS10,KCNS1
MRPS10,GAGE2A
MRPS10,MRPL32
MRPS10,MRPL53
MRPS10,MRPL57
MRPS10,L1TD1
MRPS10,IMP3
MRPS10,GAGE12J
MRPS10,PRAMEF12
MRPS10,UBQLN4
MRPS10,GADD45GIP1
MRPS10,MRPL44
MRPS10,ATP5F1D
MRPS10,RPL3L
MRPS10,PRAMEF9
MRPS10,SPDYE15
MRPS10,RPS13
MRPS10,UBD
MRPS10,SMKR1
MRPS10,OTUD3
MRPS10,GAGE10
MRPS10,MRPL16
MRPS10,MTRFR
MRPS10,MRPS17
MRPS10,GAGE12E
MRPS10,MRPL41
MRPS10,ATP6
MRPS10,UBQLN2
MRPS10,ENO2
MRPS10,MRPL15
MRPS10,MRPL40
MRPS10,SOD2
MRPS10,RPL10L
MRPS10,RPL39
MRPS10,PRAMEF25
MRPS10,UBQLNL
MRPS10,MRPL20
MRPS10,RPL36A-HNRNPH2
MRPS10,PRAMEF15
MRPS10,HMGN4
MRPS10,KCNA1
MRPS10,MRPS21
MRPS10,ABCF2
MRPS10,IFI35
MRPS10,BTBD19
MRPS10,PRAMEF4
MRPS10,PRAMEF11
MRPS10,FRRS1L
MRPS10,HSPA6
MRPS10,RPLP2
MRPS10,PRAMEF5
MRPS10,FANCE
MRPS10,UBL4B
MRPS10,RPL36AL
MRPS10,PRAMEF26
MRPS10,MRPS14
MRPS10,KCNRG
MRPS10,KCNV1
MRPS10,MRPL46
MRPS10,UBQLN3
MRPS10,EIF5AL1
MRPS10,AK7
MRPS10,GAGE12G
MRPS10,PEBP1
MRPS10,PRAMEF1
MRPS10,NME3
MRPS10,KCNF1
MRPS10,SPDYE14
MRPS10,KCNB2
MRPS10,SRFBP1
MRPS10,GAGE12C
MRPS10,LTV1
MRPS10,EIF2S2
MRPS10,AOC3
MRPS10,TMED7-TICAM2
MRPS10,KCNC1
MRPS10,PRAMEF2
MRPS10,MRPL23
MRPS10,SOD2
MRPS10,KCNA10
MRPS10,MRPL34
MRPS10,TICAM2
MRPS10,CHCHD1
MRPS10,RPS11
MRPS10,SELENOP
NFE2L3,RBX1
NFE2L3,HOXA11
NFE2L3,JUN
NFE2L3,POMP
NFE2L3,MAF
NFE2L3,JUND
TLL1,LOXL4
TLL1,MBL2
TLL1,ACTC1
TLL1,MSTN
TLL1,TLL2
TLL1,COL5A3
CBLN4,CARTPT
