X1,X2
PPP1CC,SKA2
PPP1CC,SKA1
DYNLL2,NUP85
CDC7,MCM2
HERC2,NBN
GTSE1,PSME1
BUB3,UBE2C
GTSE1,PSMC2
GTSE1,PSMC3
GTSE1,PSMC1
GTSE1,PSMC6
GTSE1,PSMC4
GTSE1,PSMC5
NBN,UBE2N
NBN,UBE2I
DYNLL2,NUP98
BARD1,HERC2
GTSE1,PSMB1
CLSPN,MCM10
GTSE1,PSMB2
GTSE1,PSMB5
GTSE1,PSMB6
GTSE1,PSMB3
GTSE1,PSMB4
GTSE1,PSMB9
GTSE1,PSMB7
AHCTF1,NUP37
GTSE1,PSMB8
CENPT,PMF1
CENPH,NUP43
DSN1,MAD1L1
RAD17,RBBP8
CDC25C,CHEK1
CDC25C,CHEK2
B9D2,NUP85
CDK2,CDKN1B
CENPH,NUP37
CDK2,CDKN1A
CENPF,MAPRE1
CENPL,DYNLL2
CDC20,SEH1L
CENPL,DYNLL1
KNTC1,PMF1
CKAP5,ZWINT
BIRC5,CKAP5
CKAP5,DSN1
DYNC1LI1,SEC13
CENPO,XPO1
PLK1,PPP1CC
NUP98,PLK1
CKAP5,INCENP
NUP98,RANBP2
CENPO,NSL1
CDCA8,NSL1
DYNC1LI1,SPC25
DYNC1LI1,SPC24
B9D2,NUP37
DYNC1I1,NUP85
KPNA2,NBN
PSMA3,UBC
PSMA3,UBB
CENPH,NUP85
CENPA,XPO1
PSMC5,PSME4
PSMC5,PSME3
PSMC5,PSME1
H2AFX,RNF8
PSMA7,RPS27A
B9D2,NUP43
INCENP,KIF18A
CENPI,PLK1
PSMC5,PSMF1
PSMA1,PSMD13
PSMA1,PSMD12
PSMA1,PSMD11
PSMA1,PSMD10
RAD9A,RFC2
PSMA1,PSMD14
B9D2,MAPRE1
RAD50,RNF8
PSMC5,PSMC6
KIF2B,TAOK1
CENPL,DYNC1I2
CENPL,DYNC1I1
RAD9A,RFC4
RAD9A,RFC3
PSMC3,PSMD14
RAD9A,RFC5
PSMC3,PSMD13
PSMC3,PSMD12
PSMC3,PSMD11
BUB3,DSN1
PSMC3,PSMD10
DYNC1I1,NUP98
CENPO,ZW10
PSMC5,PSMD9
SKA2,XPO1
PSMC5,PSMD8
NUP107,SEH1L
PSMC5,PSMD7
PSMC5,PSMD6
PSMC5,PSMD5
PSMC5,PSMD4
PSMC5,PSMD3
PSMC5,PSMD2
CENPL,DYNC1H1
PSMC5,PSMD1
BUB1B,NUP160
ITGB3BP,SKA1
ITGB3BP,SKA2
PSMA7,PSMD2
PSMA7,PSMD1
BUB1B,NUP133
DYNC1LI2,ERCC6L
CENPH,MIS12
KAT5,TP53BP1
CENPM,NDEL1
PSMA7,PSMD4
PSMA7,PSMD3
PSMA7,PSMD6
PSMA7,PSMD5
